date,left-wings,center,right-wings,total
03/90-11/90,0.333,0.333,0.333,1
11/90-04/91,0.333,0.333,0.333,1
04/91-05/93,0.333,0.333,0.333,1
05/93-03/94,0.333,0.333,0.333,1
03/94-03/98,0.167,0.167,0.667,1
03/98-06/98,0.333,0.333,0.333,1
06/98-08/98,0.333,0.333,0.333,1
08/98-08/99,0.333,0.333,0.333,1
03/00-12/00,0.667,0.167,0.167,1
12/00-01/02,0.667,0.167,0.167,1
01/02-03/02,0.333,0.333,0.333,1
03/02-07/02,0.333,0.333,0.333,1
07/02-12/02,0.667,0.167,0.167,1
12/02-03/03,0.667,0.167,0.167,1
03/03-10/03,0.667,0.167,0.167,1
03/05-06/05,0.667,0.167,0.167,1
06/05-08/05,0.667,0.167,0.167,1
03/06-11/06,1,0,0,1
11/06-05/07,0.667,0.167,0.167,1
05/07-11/07,0.667,0.167,0.167,1
11/07-12/07,0.667,0.167,0.167,1
12/07-11/08,0.167,0.167,0.667,1
11/08-01/09,0.167,0.167,0.667,1
01/09-07/09,0.167,0.167,0.667,1
07/09-03/10,0.167,0.167,0.667,1
03/10-02/12,1,0,0,1
02/12-12/13,1,0,0,1
12/13-01/14,1,0,0,1
01/14-03/14,1,0,0,1
03/14-10/14,1,0,0,1
10/14-07/16,1,0,0,1
07/16-11/16,1,0,0,1
11/16-01/17,1,0,0,1
01/17-04/17,1,0,0,1
